PK,NOMBRE,URIname,DESCRIPCION-ENTIDAD,HORARIO,Horario,TRANSPORTE,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,TYPE
2067,Museo Africano Mundo Negro,Museo Africano Mundo Negro,"Situado en los locales de los Misioneros Combonianos de Madrid y abierto al público en 1985, se propone divulgar la cultura africana, promoviendo el conocimiento de la vida, de la historia y de las diversas culturas africanas.","Grupos con cita previa : de lunes a viernes de 9,30 a 13,30 horas.   Particulares  (visitas guiadas): domingos a las 11,30 horas.   Cerrado : julio, agosto y septiembre.",lunes a viernes de 930 a 1330 horas,"Bus: 11, 70, 114, 115, 122, 200.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6ab8ef4d7f71c010VgnVCM1000000b205a0aRCRD,ARTURO SORIA,CALLE,101,MADRID,28043,SAN JUAN BAUTISTA,CIUDAD LINEAL,40.44946465,-3.651491728,914 152 412,,info@museoafricano.es,/contenido/entidadesYorganismos/Museos,Museo
2050,Museo Arqueológico Nacional,Museo Arqueologico Nacional,"Fundado en 1867, el  MAN  se inauguró en 1895 en su actual sede, en el Palacio de Biblioteca y Museos, edificio proyectado por Francisco Jareńo y terminado por Antonio Ruiz de Salces.","De martes a sábados de 9:30 a 20 horas  Domingos y festivos de 9:30 a 15 horas    Cerrado    Todos los lunes del ańo.  1 y 6 de enero, 1de mayo y 24, 25 y 31 de diciembre.    Horario de cierre de las taquillas:  15 minutos antes del cierre del Museo.   Días festivos 2018. Horario 9.30 a 15 horas:   29 y 30 de marzo; 2 de mayo;15 de agosto; 12 de octubre; 1 y 9 de noviembre; 6 y 8 de diciembre.",martes a sábados de 9:30 a 20 horas,"Metro: Serrano (línea 4), Colón (línea 4).  Bus: 1, 2, 5, 9, 14, 19, 21, 27, 37, 45, 51, 53, 74, 150.  Renfe: Recoletos (línea C-1, C-2, C-7, C-8 y C-10).",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8fd8ef4d7f71c010VgnVCM1000000b205a0aRCRD,SERRANO,CALLE,13,MADRID,28001,RECOLETOS,SALAMANCA,40.42327764,-3.688418706,"915 777 912                                                                     
                                                                                     
",,,/contenido/entidadesYorganismos/Museos,Museo
2072,Museo Casa de la Moneda,Museo Casa de la Moneda,"El Museo Casa de la Moneda alberga colecciones numismáticas y de artes gráficas: importantes dibujos, estampas, loterías, sellos,... Se trata de la que posiblemente sea la mayor exposición numismática del mundo, cubriendo la historia de la moneda desde el siglo  VII a.C.  hasta nuestros días.","De martes a viernes ininterrumpidamente de 10 a 17:30 horas. Sábados, domingos y festivos de 10 a 14:15 horas  Cerrado los lunes (incluido festivos), y los días 1 y 6 de enero; 19 de marzo; 1 de mayo;  24, 25 y 31 de diciembre",de martes a viernes de 10 a 17:30 horas,"Metro: O&acute;Donnell (línea 6)  Bus: 2, 28, 30, 56, 71, 143, C2",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12f8ef4d7f71c010VgnVCM1000000b205a0aRCRD,DOCTOR ESQUERDO,CALLE,36,MADRID,28028,GOYA,SALAMANCA,40.42259797,-3.669150206,"915 666 544                                 
",915 666 809,museo@fnmt.es,/contenido/entidadesYorganismos/Museos,Museo
4112,Museo Cerralbo,Museo Cerralbo,"Este Palacio, construido entre 1883 y 1893, fue concebido como vivienda y como museo para sede de las obras de arte reunidas por los Marqueses de Cerralbo y sus hijos, los Marqueses de Villa Huerta, durante los numerosos viajes que realizaron por Espańa y Europa.","De martes a sábado de 9:30 a 15 horas.  Jueves de 17 a 20 horas, excepto festivos.  Domingos y festivos de 10 a 15 horas.  Cerrado:  Todos los lunes.  1 y 6 de enero.  1 de mayo.  24, 25 y 31 de diciembre.  Una fiesta local.",martes a sábado de 9:30 a 15 horas,"Metro: Plaza de Espańa (líneas 3, 10), Príncipe Pío (líneas 6 y 10).  Bus: 1, 2, 3, 44, 46, 74, 75, 133, 147, 148, C1, C2.  Renfe: Príncipe Pio (líneas C1, C7 Y C10).",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a4efb0c40971c010VgnVCM1000000b205a0aRCRD,VENTURA RODRIGUEZ,CALLE,17,MADRID,28008,ARGUELLES,MONCLOA-ARAVACA,40.42376732,-3.714617039,915 473 646 / 47,915 591 171,museo.cerralbo@mecd.es,/contenido/entidadesYorganismos/Museos,Museo
10091450,Museo EMT,Museo EMT,"El Museo de la  EMT  se ha convertido en realidad tras una década de duro trabajo de recuperación, restauración y reparación del patrimonio histórico de la Empresa Municipal de Transportes de Madrid, especialmente, material móvil, mobiliario, piezas mecánicas, maquinaria y otros elementos inherentes a la actividad de la  EMT  en sus 70 ańos de historia.","Visitas (con cita previa)   Apertura estacional durante seis meses al ańo: todos los sábados de abril, mayo, junio, julio, septiembre y octubre), a las 10, a las 11:30 y a las 13 horas.  Por ser un centro de trabajo únicamente pueden realizarse de forma organizada, previamente concertadas y limitadas a un máximo de 40 personas por turno.  Duración: 60 minutos aproximadamente.  Compra de entradas y reserva de horarios a través de la web:  http://tienda.emtmadrid.es  (a partir del 1 de marzo de 2018).",visitas con cita previa,"Metro: Begońa (línea 10).  Bus: 66, 173, 174, 176, 191, 193, 194, 195, 196, 197, 712, 713, 714, 716, L171.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d56ad05b2a255510VgnVCM2000001f4a900aRCRD,MAURICIO LEGENDRE,CALLE,40,MADRID,28046,CASTILLA,CHAMARTIN,40.48017361,-3.683159545,914 068 810,,,/contenido/entidadesYorganismos/AyuntamientoMadrid/OrganismosEmpresasMunicipales,Museo
10237457,Museo Félix Cańada,Museo Felix Canada,"Una selección de más de quinientas obras de arte de entre las cerca de mil de la donación original, constituyen la Colección Permanente que se puede visitar en las salas del Museo Félix Cańada de la Fundación Gómez Pardo, adscrita a la Escuela Técnica Superior de Ingenieros de Minas y Energía de la Universidad Politécnica de Madrid. Donada por el ingeniero de minas Doctor Félix Cańada Guerrero a la Fundación Gómez Pardo, reúne una amplia representación de trabajos de destacados artistas, pintores, escultores, ilustradores, grabadores, orfebres, ceramistas, etc. abarcando diferentes periodos desde el siglo  XI  hasta nuestros días.","Visitas: lunes, miércoles y viernes de 10 a 13 horas.",miércoles y viernes de 10 a 13 horas,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cb22820a52799510VgnVCM1000001d4a900aRCRD,ALENZA,CALLE,1,MADRID,28003,RIOS ROSAS,CHAMBERI,40.44258167,-3.700796192,914 417 921,,museo@fgomezpardo.es,/contenido/entidadesYorganismos/Museos,Museo
2074,Museo Geominero,Museo Geominero,"Construcción típica de la arquitectura en hierro y cristal de principios del siglo  XX  que alberga colecciones de minerales, rocas y fósiles procedentes de todas las regiones espańolas y de antiguos territorios coloniales, así como de yacimientos significados del registro mundial.   Objetivos del museo : conservar, investigar y difundir el patrimonio geológico, paleontológico y mineralógico","De lunes a domingo y festivos de 9 a 14 horas  Cerrado los días 1 y 6 de enero y 24, 25 y 31 de diciembre",de lunes a domingo y festivos de 9 a 14 horas ,"Metro: Ríos Rosas (línea 1) y Alonso Cano (línea 7)  Bus: 3, 5, 12, 37, 45, 149",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ff0bef4d7f71c010VgnVCM1000000b205a0aRCRD,RIOS ROSAS,CALLE,23,MADRID,28003,RIOS ROSAS,CHAMBERI,40.44204795,-3.699670469,913 495 759,913 495 828,m.geominero@igme.es,/contenido/entidadesYorganismos/Museos,Museo
2075,Museo Histórico Minero Don Felipe de Borbón y Grecia,Museo Historico Minero Don Felipe de Borbon y Grecia,Ubicado en la Escuela Técnica Superior de Ingenieros de Minas de Madrid,"De lunes a viernes, de 9 a 14 horas.",lunes a viernes de 9 a 14 horas,"Metro: Ríos Rosas (línea 1)  Bus: 3, 12, 37, 45, 149",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=822bef4d7f71c010VgnVCM1000000b205a0aRCRD,RIOS ROSAS,CALLE,21,MADRID,28003,RIOS ROSAS,CHAMBERI,40.44207963,-3.700390072,913 367 017,,,/contenido/entidadesYorganismos/Museos,Museo
18176,Museo ICO,Museo ICO,,De martes a sábados: de 11 a 20 horas    Domingos y festivos: de 10 a 14 horas     Cerrado:  Todos los lunes del ańo (incluidos festivos),de martes a sábados de 11 a 20 horas,"Metro: Banco de Espańa (línea 2) , Sevilla (línea 2)  Bus: 3, 5, 9, 15, 20, 46, 51, 52, 53, 150, M1, M2",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2886444a2951c010VgnVCM2000000c205a0aRCRD,ZORRILLA,CALLE,3,MADRID,28014,CORTES,CENTRO,40.4167533,-3.697734624,914 201 242,,museoico@ico.es,/contenido/entidadesYorganismos/Museos,Museo
6019032,Museo Los Cańos del Peral. Estación de Metro Ópera,Museo Los Canos del Peral. Estacion de Metro Opera,,"Viernes, sábados y domingos de 11 a 13 y de 17 a 19 horas",viernes sábados y domingos de 11 a 13 y de 17 a 19 horas,"Metro: Ópera (líneas 2, 5 y Ramal).",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=435950262d50f210VgnVCM2000000c205a0aRCRD,ISABEL II,PLAZA,1,MADRID,28013,PALACIO,CENTRO,40.4177556,-3.70920207,902 444 403 / 917 796 399 ,,,/contenido/entidadesYorganismos/Museos,Museo
2053,Museo Lázaro Galdiano,Museo Lazaro Galdiano,,"Martes a sábados de 10 a 16:30 horas.  Domingos de 10 a 15 horas.  Cerrado todos los lunes, y 6 de enero; 29 y 30 de marzo; 1 y 2 de mayo; 15 de agosto; 1 de noviembre y 24, 25 y 31 de diciembre de 2018.  Grupos y visitas guiadas consultar.",martes a sábados de 10 a 16:30 horas,"Metro: Gregorio Marańón (línea 7 y 10).  Bus: 7, 9, 12, 14, 16, 19, 27, 40, 61, 145, 150.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7d1aef4d7f71c010VgnVCM1000000b205a0aRCRD,SERRANO,CALLE,122,MADRID,28006,CASTELLANA,SALAMANCA,40.43675033,-3.686198013,915 616 084,915 617 793,,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,Museo
5349304,Museo Nacional Centro de Arte Reina Sofía (MNCARS),Museo Nacional Centro de Arte Reina Sofia,"Edificio Sabatini:  calle Santa Isabel 52.   Edificio Nouvel  (ampliación): ronda de Atocha, esquina a plaza del Emperador Carlos V.   Espacios en el parque del Retiro:  Palacio de Velázquez y Palacio de Cristal.","De lunes a sábado de 10 a 21 horas y domingos de 10 a 19 horas.  Martes cerrado (incluso festivos).  Cerrado 1 y 6 enero, 1 y 15 de mayo, 9 de noviembre, 24, 25 y 31 de diciembre.",de lunes a sábado de 10 a 21 horas ,"Metro: Atocha (línea 1).  Bus:  6, 10, 14, 19, 26, 27, 32, 34, 36, 37, 41, 45, 59, 85, 86, 102, 119, C1, C2, E1.  Cercanías Renfe: Atocha (líneas C1, C2, C3, C4, C5, C7, C8, C10).",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=69d8275bad5a1210VgnVCM2000000c205a0aRCRD,SANTA ISABEL,CALLE,52,MADRID,28012,EMBAJADORES,CENTRO,40.40854132,-3.694031651,"917 741 000                                                                                         
",,,/contenido/entidadesYorganismos/Museos,Museo
2099,Museo Nacional Thyssen-Bornemisza,Museo Nacional Thyssen-Bornemisza,"El Palacio donde se ubica la colección fue el antiguo palacio del duque de Villahermosa. Edificación neoclásica. Posteriormente se adapta como entidad bancaria perdiento sus espacios interiores. Más tarde, pasó a formar parte de los edificios del Museo del Prado. Desde principios de los 90 alberga la Colección Thyssen. El museo ofrece un recorrido por la historia de la pintura europea desde sus inicios en el siglo  XIII , hasta finales del siglo  XX.","Colecciones permanentes:   lunes de 12 a 16 horas (acceso gratuito gracias al patrocinio de MasterCard). Martes a domingos de 10 a 19 horas.    Exposiciones temporales : consultar horario específico en Museo.  Último acceso 1 hora antes del cierre. El desalojo de todas las salas tendrá lugar 5 minutos antes del cierre.   Avisos y aperturas extraordinarias:  los días 1 de enero, 1 de mayo y 25 de diciembre el Museo permanecerá cerrado. El 24 y el 31 de diciembre el horario de apertura del Museo será de 10 a 15 horas.",martes a domingos de 10 a 19 horas,"Metro: Banco de Espańa (línea 2).  Bus: 1, 2, 5, 9, 10, 14, 15, 20, 27, 34, 37, 41, 51, 52, 53, 74, 146 y 150.  Cercanías Renfe: Recoletos.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b8079262ef5d010VgnVCM1000000b205a0aRCRD,PRADO,PASEO,8,MADRID,28014,CORTES,CENTRO,40.41600554,-3.694744831,"917 911 370                                                                                                                                                                                                                        
",,cav@museothyssen.org,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,Museo
2057,Museo Nacional de Antropología,Museo Nacional de Antropologia,"El Museo está instalado en el edificio de estilo clasicista construido por el Marqués de Cubas en 1875 por encargo del Doctor González Velasco, fundador de la institución.","De martes a sábado de 9:30 a 20 horas.  Domingos y festivos: de 10 a 15 horas.  Cerrado todos los lunes del ańo y los días 1 y 6 de enero, 1 y 15 de mayo, 24, 25 y 31 de diciembre.",de martes a sábado: de 9:30 a 20 horas,"Metro: Atocha (línea 1).  Bus: 10, 14, 19, 24, 26, 32, 37,54, 57, 59, 85, 86, 102, 141, C1, C2.  Cercanías Renfe: Atocha (líneas C1, C2, C3, C4, C5, C7, C8, C10).",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=456079262ef5d010VgnVCM1000000b205a0aRCRD,ALFONSO XII,CALLE,68,MADRID,28014,LOS JERONIMOS,RETIRO,40.40788754,-3.688862924,915 306 418 /915 395 995,914 677 098,antropologico@mecd.es,/contenido/entidadesYorganismos/Museos,Museo
2055,Museo Nacional de Artes Decorativas,Museo Nacional de Artes Decorativas,"Inaugurado en 1912, su sede es un típico palacete madrileńo del último tercio del siglo XIX. El museo posee muebles, cerámicas, vidrios, joyas, tejidos, arte oriental, y hasta 30 000 objetos distintos que a lo largo de la historia han servido para embellecer las casas, palacios y los monumentos de distintas culturas.  El museo posee muestras como el Jarrón de Sevres regalo de Napoleón III, la Cocina Valenciana del siglo XVIII compuesta por más de 1500 azulejos de Manises, la Mesa de plata del siglo XVI o la colección de alfombras espańolas de los siglos XV al XVII.","Colección permanente:    Martes a sábados de 9:30 a 15 horas.  Domingo y festivos: de 10 a 15 horas.  Jueves tarde de 17 a 20 horas.   Cerrado:   todos los lunes del ańo, 1 y 6 de enero, 1 y 15 de mayo, 24, 25 y 31 de diciembre.",martes a sábados de 9:30 a 15 horas,"Metro: Retiro (línea 2).  Bus: 1, 2, 9, 10, 14, 15, 19, 20, 27,  28, 34, 37, 45 51, 52, 74, 146, 203.  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8 Y C10).",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=287079262ef5d010VgnVCM1000000b205a0aRCRD,MONTALBAN,CALLE,12,MADRID,28014,LOS JERONIMOS,RETIRO,40.41789128,-3.689754685,915 326 499 / 915 326 845 / 910 505 755 (Reserva actividades infantiles) / 910 505 768 (Biblioteca) 910 505 763 (Atención a investigadores),915 232 086,mnad@mecd.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,Museo
